,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
141,지옥왕 [단행본],무협,요도 김남재,(2014.01.23.),(2014.01.23.),9,220,199,8.1
142,가면 속 그대,로맨스,손작가,(2014.07.03.),(2014.11.24.),97,352,500,8.4
143,협박연애 [독점],라이트노벨,NZ,(2014.06.02.),(2015.01.02.),100,"1,007",716,9.6
144,궁 안에 잠들어 있는 꽃,로판,초콜릿악마,(2013.12.02.),(2014.04.12.),48,168,214,9.3
145,미스터 군주 [독점],로맨스,욘더,(2016.10.04.),(2017.04.29.),87,193,799,9.6
146,당신의 머리 위에,판타지,박건,(2014.04.21.),(2021.07.09.),259,"4,317",599,9.1
147,절대군주 [독점],판타지,금강,(2013.01.15.),(2014.07.01.),153,180,190,7.6
148,폭풍의 제왕 (KING OF STORM) [단행본],판타지,가우리,(2013.09.06.),(2013.09.06.),18,304,315,8.7
149,폭군의 신부,로맨스,김청아(설화),(2015.11.04.),(2016.06.04.),86,114,358,9.1
150,판타스틱 남장신부 [독점],로판,임혜,(2016.11.02.),(2017.04.30.),115,782,"1,067",9.5
151,절대강호 [개정판][단행본],무협,장영훈,(2014.11.27.),(2014.11.27.),27,619,474,9.3
152,악랄하게 품다,로맨스,은빈,(2016.07.06.),(2017.01.11.),56,226,379,8.7
153,일그러진 밤의 신,라이트노벨,가온비,(2013.08.05.),(2014.09.15.),121,553,260,9.1
154,이 집사님의 사랑법,로맨스,강선영(홍차),(2015.12.01.),(2016.05.12.),69,238,537,9.2
155,19금,19금,19금,19금,19금,19금,19금,19금,19금
156,마법군주 [단행본],판타지,발렌,(2014.02.27.),(2014.02.27.),12,358,350,7.2
157,스트라이커,현판,독고진,(2015.12.04.),(2016.05.25.),307,268,229,7.9
158,아나하라트 - 공주와 구세주,로판,김영지,(2015.05.06.),(2016.06.09.),130,"1,873","1,021",9.5
159,아! 형산파 [단행본],무협,풍백,(2012.09.25.),(2012.09.25.),15,135,76,7.5
160,군림천하 [단행본],무협,용대운,(2011.12.12.),(2019.09.09.),35,767,574,8.8
161,19금,19금,19금,19금,19금,19금,19금,19금,19금
162,사상최강 [독점],무협,황규영,(2016.09.05.),(2018.06.18.),294,"5,826",970,9.1
163,8클래스 마법사의 회귀,판타지,류송,(2016.11.07.),(2022.02.24.),342,"3,208",920,9.0
164,너를 보여줘,로맨스,이정운,(2015.11.30.),(2016.03.28.),76,432,535,9.4
165,더 게이머 오리진 [단행본],판타지,성상영,(2014.02.06.),(2020.12.10.),12,"1,141",975,7.1
166,내 사랑은 미쳤다,로맨스,용감한 자매,(2016.02.01.),(2016.07.04.),87,263,451,8.8
167,무림체포전담조 [독점],무협,이윤아,(2016.05.05.),(2017.02.19.),167,945,528,9.5
168,패션왕Zero,로맨스,3B연필,(2013.05.06.),(2013.10.28.),60,113,65,8.2
169,왕의 딸로 태어났다고 합니다 [단행본],로판,비츄,(2015.09.30.),(2015.10.15.),11,234,574,6.8
170,무당신선 [개정판][단행본],무협,북미혼,(2015.01.15.),(2015.01.15.),15,220,577,8.6
171,천마신교 낙양지부 [단행본],무협,가을bee,(2013.03.21.),(2017.07.03.),30,908,554,8.5
172,환수의 소원,판타지,일월랑,(2015.05.06.),(2016.07.27.),130,541,391,9.1
173,이것이 법이다,현판,자카예프,(2015.11.06.),(2024.06.26.),4601,"2,225",389,8.7
174,300년을 기다렸다,로맨스,손작가,(2016.03.31.),(2016.08.25.),111,339,544,9.3
175,1874 대혁명,판타지,다물,(2016.02.04.),(2017.03.17.),575,270,122,6.8
176,아크 [단행본],판타지,유성,(2012.07.05.),(2012.07.05.),24,232,153,7.7
177,야만의 지구 [독점],현판,실탄,(2015.12.01.),(2016.08.06.),116,750,398,8.9
178,내싸랑 님과 함께,로맨스,루치아,(2014.12.04.),(2015.04.23.),59,354,428,8.4
179,태양을 사랑한 달,로판,초콜릿악마,(2016.07.04.),(2017.02.27.),113,309,471,9.3
180,조선대혁명 [단행본],판타지,다물,(2014.01.10.),(2016.07.04.),47,419,248,7.1
181,미쁨이지 아니한가,로맨스,cosmos,(2016.10.04.),(2017.03.17.),77,341,902,9.5
182,태극무존 [단행본],무협,흑야,(2013.05.13.),(2013.05.13.),15,171,98,7.9
183,빨간 거짓말,로맨스,디망쉬,(2016.09.07.),(2017.02.26.),68,69,290,9.4
184,용마검전,판타지,김재한,(2014.08.26.),(2015.04.14.),266,788,409,8.8
185,헬게이트,판타지,김강현,(2013.01.15.),(2013.09.25.),108,153,64,8.0
186,판매중지,판매중지,판매중지,판매중지,판매중지,판매중지,판매중지,판매중지,판매중지
187,드래곤 푸어 [개정판],판타지,글럼프,(2017.01.16.),(2017.12.18.),339,"3,689",560,9.0
188,나를 사랑한 아이돌,로맨스,용감한 자매,(2014.06.03.),(2014.10.03.),71,121,412,8.8
