,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
29,선독점 사천당가의 검신급 소가주가 되었다,무협,화계火鷄,2022.05.12 21:00,2024.06.20 18:00,341 회,"3,342,019","74,170","1,885,590","15,171"
30,선독점 마교교주가 정체를 숨김,"무협, 퓨전",굴강적소비토,2023.09.11 06:00,2024.06.25 09:00,412 회,"257,088","10,199","2,411,148",946
31,선독점 나노 마신(喇勞 魔神),"무협, 판타지",한중월야,2017.06.26 10:52,2018.05.16 21:18,342 회,"15,711,903","373,354","2,274,671","54,536"
32,선독점 호위검천,"무협, 퓨전",김태현,2024.04.21 13:47,2024.06.25 14:22,62 회,"247,636","6,903","323,759","1,193"
33,선독점 환생표사,무협,신갈나무,2018.10.01 16:04,2020.04.03 10:17,282 회,"11,646,961","397,907","2,065,177","32,398"
34,선독점 검귀귀환록,"무협, 판타지",불빵,2024.01.26 12:02,2024.06.25 12:00,129 회,"722,676","15,199","876,761","2,580"
35,선독점 종남파 검신급 일대제자,무협,밀리언L,2022.05.15 10:30,2024.05.23 00:45,205 회,"1,143,680","28,647","1,187,904","3,771"
36,"선독점 귀환노병, 천하제일가를 세우다","무협, 퓨전",태양진,2023.05.10 11:55,2024.06.22 18:00,227 회,"1,533,638","38,919","1,275,327","5,088"
37,선독점 사제회귀,"판타지, 무협",강바기,2022.01.11 19:53,2022.11.14 18:00,200 회,"426,368","9,978","1,084,399","1,359"
38,선독점 흡수능력으로 광부에서 신선까지,"무협, 판타지",미속,2022.01.05 11:10,2023.02.16 11:10,408 회,"1,478,033","37,637","2,350,874","4,798"
39,선독점 마법수선전(魔法修仙傳),"무협, 퓨전",쿤두,2023.05.15 16:43,2024.04.01 21:10,191 회,"1,208,129","32,966","1,060,574","4,022"
40,선독점 톱스타 이건우,"현대판타지, 무협",크레도,2017.04.10 19:05,2018.02.19 18:00,328 회,"10,637,812","258,583","1,670,414","20,435"
41,선독점 환생천마,무협,장영훈,2016.12.08 15:50,2017.09.26 21:50,300 회,"7,461,997","241,005","1,819,890","22,339"
42,선독점 레이드 뛰는 무림인,"퓨전, 무협",안형찬,2020.06.13 01:13,2021.06.09 13:47,262 회,"2,071,557","56,193","1,362,853","5,433"
43,선독점 발해의 혼(개정판),무협,금강,2018.10.25 01:46,2019.01.01 17:00,126 회,"38,248",907,"660,270",191
44,선독점 천마와 무적호위,무협,왕도채비,2023.09.22 17:58,2024.05.02 18:00,186 회,"133,165","3,151","1,007,452",430
