,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
146,선독점 근력 만렙 중세인,"판타지, 퓨전",련습,2024.02.21 19:56,2024.06.20 23:00,111 회,"1,069,762","32,751","821,058","7,601"
147,선독점 은퇴한 전설의 특수요원이 반로환동하여 사는 법.,"판타지, 현대판타지",강바기,2024.04.22 19:27,2024.06.21 00:10,57 회,"1,035,223","25,735","356,486","7,228"
148,선독점 조선에서 인간병기로 살아가는 법,"퓨전, 대체역사",담배맛젤리,2023.05.23 20:35,2024.04.24 04:26,215 회,"1,906,270","66,252","1,463,578","7,756"
149,선독점 재벌가에 천재가 입양 되었다,"현대판타지, 판타지",꿈가득남,2022.07.27 16:24,2023.02.12 19:00,202 회,"3,326,562","74,259","1,063,668","14,442"
150,선독점 초월자들과 거래하는 헌터,"현대판타지, 판타지",지장수,2024.02.15 19:28,2024.06.20 21:00,132 회,"1,115,826","22,435","917,234","3,392"
151,선독점 중소기업 신입사원 이현준,"현대판타지, 판타지",혁이.,2020.09.01 09:00,2021.05.06 09:00,200 회,"1,943,186","46,273","1,058,751","5,561"
152,선독점 전생에 미켈란젤로였다,"현대판타지, 드라마",4분,2023.03.28 14:40,2024.06.06 16:54,431 회,"3,418,076","124,352","2,913,648","14,867"
153,선독점 천재 흑마법사,판타지,노란커피,2021.05.26 19:48,2024.03.29 16:00,786 회,"9,594,573","448,084","5,168,503","30,483"
154,선독점 재벌을 넘어 귀족으로,"현대판타지, 판타지",푸달,2019.05.01 12:05,2019.11.09 14:47,201 회,"5,023,947","110,334","1,495,345","16,099"
155,선독점 불꽃의 기사,"판타지, 퓨전",도동파,2020.01.21 11:18,2021.05.13 12:30,428 회,"2,329,620","113,455","3,386,372","9,633"
156,선독점 변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,2024.02.22 23:08,2024.06.20 18:15,127 회,"706,159","31,748","1,186,812","5,664"
157,선독점 똥손 재벌 3세 회귀하다,"현대판타지, 대체역사",Primus,2024.02.20 17:10,2024.06.21 08:00,147 회,"880,196","15,332","777,207","3,715"
158,선독점 환생한 음악천재가 재능을 못 숨김,현대판타지,아몬드빵,2024.01.28 19:47,2024.06.20 23:00,118 회,"1,893,281","48,513","645,932","10,809"
159,선독점 아포칼립스 EX급 벙커 라이프,"현대판타지, 퓨전",켈린더,2024.04.11 14:50,2024.06.20 18:30,74 회,"748,197","14,732","468,286","4,660"
160,선독점 F급 헌터가 우주전함을 키움,"현대판타지, 퓨전",이나르™,2024.01.08 18:20,2024.06.20 18:00,143 회,"1,978,074","49,671","895,179","11,001"
161,선독점 주인공이 힘을 숨김,"현대판타지, 게임",로드워리어,2016.06.11 12:32,2017.04.29 14:04,350 회,"6,405,993","204,428","2,207,270","19,866"
162,선독점 아케인펑크의 공간술사,"퓨전, SF",다원.,2023.10.23 18:00,2024.05.11 23:14,203 회,"1,244,686","38,635","1,150,647","6,500"
