,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
3196,19금,19금,19금,19금,19금,19금,19금,19금,19금
3197,19금,19금,19금,19금,19금,19금,19금,19금,19금
3198,은퇴한 헌터의 유유자적 힐링라이프,현판,막고라,(2024.02.22.),(2024.05.10.),150,705,9,9.2
3199,아케인펑크의 공간술사,판타지,다원,(2024.02.07.),(2024.05.10.),202,269,3,8.9
3200,이세계 영주가 밥을 잘 먹임,판타지,이디즈,(2023.09.19.),(2024.05.10.),333,"3,729",22,9.8
3201,망할 우주 함장이 되었다 [독점],판타지,옥돌s,(2023.06.06.),(2024.05.10.),300,496,9,9.3
3202,이 고독한 밤을 위하여,로판,강영원,(2022.12.02.),(2024.05.10.),154,52,11,9.5
3203,MZ사원 성공기 [독점],현판,현우,(2023.09.26.),(2024.05.10.),200,271,3,8.9
3204,호구 공작가의 며느리가 되었는데 [독점],로판,설단희,(2024.01.13.),(2024.05.10.),170,413,6,9.5
3205,냉장고 속 신이 되었다 [독점],판타지,소유하,(2023.12.12.),(2024.05.10.),139,483,1,9.3
3206,폭군의 위자료를 굴려보자 [독점],로판,3월의토끼,(2021.06.09.),(2024.05.10.),135,713,31,9.1
3207,이혼하고 탄탄대로 [단행본],현판,우월한인간,(2024.05.10.),(2024.05.10.),8,0,좋아요,10.0
3208,아기가 너무 강함 [단행본],현판,사는게죄,(2024.05.10.),(2024.05.10.),8,0,좋아요,0.0
3209,회귀한 아내가 나를 너무 좋아한다 [단행본],판타지,요하,(2024.05.10.),(2024.05.10.),8,0,좋아요,0.0
3210,사막의 왕자는 여행한다 [독점],판타지,핀달릴,(2021.09.22.),(2024.05.10.),891,960,40,9.0
3211,"운명찬탈자, 미래를 보는 헌터",판타지,범미르,(2024.05.10.),(2024.05.10.),558,0,좋아요,10.0
3212,마도귀환록 [독점],무협,한유림,(2022.05.04.),(2024.05.10.),512,"2,961",50,8.0
3213,아포칼립스에서 명사수로 살아남기,현판,남극여우야,(2024.05.10.),(2024.05.10.),150,68,2,6.9
3214,천재 의사는 열심히 살기로 했다 [미니노블],판타지,별그림자,(2024.05.10.),(2024.05.10.),100,58,1,9.1
3215,어떤 바람은 사람을 미치게 한다 [선공개],로판,온밤톨,(2024.05.10.),(2024.05.10.),150,52,8,9.5
3216,회귀한 천재 해커는 사이버펑크 세상을 지배한다 [단행본],판타지,클레어킨,(2024.05.10.),(2024.05.10.),8,0,좋아요,0.0
3217,19금,19금,19금,19금,19금,19금,19금,19금,19금
3218,19금,19금,19금,19금,19금,19금,19금,19금,19금
3219,19금,19금,19금,19금,19금,19금,19금,19금,19금
3220,19금,19금,19금,19금,19금,19금,19금,19금,19금
3221,19금,19금,19금,19금,19금,19금,19금,19금,19금
3222,19금,19금,19금,19금,19금,19금,19금,19금,19금
