,제목,장르,작가,연재 시작일,마지막 연재일,연재수,댓글수,추천수,평점,Site
2598,무림에서 나노머신,무협,타자씨,2023-05-19,2024-04-21,143,81,1,8.5,NaverSeries
2599,너의 약혼자와,로맨스,문소언,2024-04-10,2024-04-21,73,451,6,8.9,NaverSeries
2600,누가 내 부모를 죽였나 BL,로맨스,은하수,2024-04-21,2024-04-21,133,0,0,0.0,NaverSeries
2601,엑스트라는 구원하고 떠납니다,로판,윤로체,2023-12-11,2024-04-20,175,127,7,8.8,NaverSeries
2602,제갈세가 막내권마,무협,월랑,2024-04-20,2024-04-20,17,11,0,8.9,NaverSeries
2603,슈퍼스타 천대리,현판,박경원,2024-04-20,2024-04-20,18,0,0,8.5,NaverSeries
2604,너의 가이드가 되고 싶어 BL,로맨스,한아뿐,2024-04-20,2024-04-20,4,0,0,0.0,NaverSeries
2605,우리 딸들이 연기를 잘 한다,현판,에바트리체,2024-04-20,2024-04-20,12,0,0,0.0,NaverSeries
2606,역대급 보스를 테이밍했다,현판,페르세르크,2024-04-20,2024-04-20,4,0,0,7.1,NaverSeries
2607,장비빨로 즐기는 이세계 캠핑,판타지,판포유,2024-04-20,2024-04-20,4,4,0,10.0,NaverSeries
2608,"팀장님, 이제 아이돌이시라구요",현판,김로이,2024-04-20,2024-04-20,8,3,0,9.6,NaverSeries
2609,세상이 망해버렸으면 좋겠다,현판,신세치,2024-04-20,2024-04-20,10,1,0,10.0,NaverSeries
2610,1000일의 매니저,현판,도원경,2024-04-20,2024-04-20,10,0,0,10.0,NaverSeries
2611,최종보스의 구원자가 되었다,판타지,심씀,2024-04-20,2024-04-20,9,1,0,10.0,NaverSeries
2612,울어도 소용없어,로판,채주아,2024-04-20,2024-04-20,5,0,0,0.0,NaverSeries
2613,이혼 전 관계,로맨스,윤혜담,2024-04-20,2024-04-20,2,0,0,0.0,NaverSeries
2614,내 특성이 너무 많음,판타지,악티늄K,2024-04-20,2024-04-20,15,5,0,9.5,NaverSeries
2615,세계 제일 부자는 백수,현판,소보로설,2024-04-20,2024-04-20,10,5,0,7.6,NaverSeries
2616,수상한 야산을 사버렸더니,현판,소수림,2024-04-20,2024-04-20,7,6,0,7.4,NaverSeries
2617,내 무기가 너무 많음,판타지,상연,2024-04-20,2024-04-20,8,2,0,8.5,NaverSeries
2618,불사검제,무협,서준백,2024-04-20,2024-04-20,10,0,0,0.0,NaverSeries
2619,마왕으로 살아남는 법,판타지,구유,2024-04-20,2024-04-20,24,17,0,8.3,NaverSeries
2620,3회차 빌런의 참교육,판타지,날망,2024-04-20,2024-04-20,4,0,0,10.0,NaverSeries
2621,메마른 정원에 꽃이 피어나면,로판,쟤시켜알바,2023-10-07,2024-04-19,175,191,16,9.7,NaverSeries
2622,아홉 번째 조선,판타지,강현,2023-01-31,2024-04-19,316,1420,54,9.2,NaverSeries
2623,후회해 그 밤을,로맨스,효체,2024-04-02,2024-04-19,108,3,0,10.0,NaverSeries
2624,번개 맞은 프로그래머,현판,np씨,2024-04-19,2024-04-19,8,0,0,0.0,NaverSeries
2625,꽃길만 걷는 아이돌,현판,김태진,2024-04-19,2024-04-19,12,0,1,0.0,NaverSeries
2626,강한 채로 회귀,판타지,홍성은,2024-04-19,2024-04-19,7,0,0,0.0,NaverSeries
2627,환생했더니 무능한 적국 왕자였다,판타지,SLV,2024-04-19,2024-04-19,9,0,0,0.0,NaverSeries
2628,천부천하,무협,비검,2024-04-19,2024-04-19,35,1,0,10.0,NaverSeries
2629,블랙커버(Blackcover),로맨스,로킨,2024-04-19,2024-04-19,119,93,5,9.8,NaverSeries
2630,밤에만 찾아오는 대공,로판,고지지,2024-04-19,2024-04-19,128,51,14,9.1,NaverSeries
2631,무협을 모릅니다 BL,로맨스,하르넨,2024-04-19,2024-04-19,150,4,2,10.0,NaverSeries
2632,이 사기극에 악의는 없었습니다,로판,연다음,2024-04-19,2024-04-19,128,412,5,9.1,NaverSeries
2633,"엘리, 그 지긋지긋한 새끼 GL",로맨스,해뜬날,2024-04-19,2024-04-19,2,0,0,0.0,NaverSeries
2634,남다른 천재배우라 이중생활합니다 미니노블,현판,기회,2024-04-19,2024-04-19,100,60,0,8.9,NaverSeries
2635,후원의 밤,로맨스,최유려,2024-04-19,2024-04-19,2,0,0,0.0,NaverSeries
2636,잡몹으로 살아남기,판타지,사파,2024-04-19,2024-04-19,7,0,0,0.0,NaverSeries
2637,SSS급 운빨로 무한 레벨업,현판,레노벨,2024-04-19,2024-04-19,204,142,5,8.4,NaverSeries
2638,누명 쓴 황자를 주웠다,로판,김싴,2024-04-19,2024-04-19,100,45,7,9.3,NaverSeries
2639,다정한 남자는 다 계획이 있다,로판,에비파이,2024-04-19,2024-04-19,121,29,6,9.7,NaverSeries
2640,완벽한 소유 추가외전,로맨스,모리미,2024-04-19,2024-04-19,1,0,0,0.0,NaverSeries
2641,이혼 후 돈벼락!,현판,우욱,2024-04-19,2024-04-19,5,0,0,7.5,NaverSeries
2642,아카데미 환생영웅,현판,달비트,2023-08-29,2024-04-19,214,223,25,7.9,NaverSeries
2643,두 번 사는 전격계 헌터,판타지,미도라시,2024-04-19,2024-04-19,10,2,0,5.5,NaverSeries
2644,선택당했다. 세계 최고의 재벌로,현판,윤필(尹筆),2024-04-19,2024-04-19,7,0,0,6.0,NaverSeries
2645,서쪽 마녀의 7기사,로판,플라티,2024-04-19,2024-04-19,180,0,0,10.0,NaverSeries
2646,"저와 함께 날아주세요, 황제님 외전",로판,단풍나무사탕,2024-04-19,2024-04-19,1,0,0,0.0,NaverSeries
2647,이사 온 집에 겜창 유령이 산다,로맨스,kenYH,2024-04-19,2024-04-19,3,0,0,0.0,NaverSeries
2648,"저와 함께 날아주세요, 황제님",로판,단풍나무사탕,2024-04-19,2024-04-19,1,0,0,0.0,NaverSeries
2649,하필이면 왜 멸망세계인가요 1권,로판,여록,2024-04-19,2024-04-19,1,0,0,0.0,NaverSeries
2650,하필이면 왜 멸망 세계인가요 2~3권,로판,여록,2024-04-19,2024-04-19,2,0,0,0.0,NaverSeries
2651,하필이면 왜 멸망 세계인가요 4권,로판,여록,2024-04-19,2024-04-19,1,0,0,0.0,NaverSeries
2652,버려야 할 남편,로맨스,리키,2024-04-03,2024-04-19,84,755,2,9.4,NaverSeries
2653,두 번째 왕후,로맨스,이리리,2024-04-19,2024-04-19,6,0,0,10.0,NaverSeries
2654,두 번째 왕후 외전,로맨스,이리리,2024-04-19,2024-04-19,1,0,0,10.0,NaverSeries
2655,우리 아빠는 소드마스터,현판,앱솔,2024-04-19,2024-04-19,8,1,0,0.0,NaverSeries
2656,마왕님 헌터로 강림하사,현판,최강이,2023-09-26,2024-04-18,200,532,16,9.2,NaverSeries
2657,연성하는 영주님,판타지,시인단테,2024-03-13,2024-04-18,222,232,5,8.6,NaverSeries
2658,아포칼립스에 내 땅 30평부터 시작,현판,가시개미,2024-04-18,2024-04-18,6,0,0,10.0,NaverSeries
2659,머슬업 챌린지 BL,로맨스,신희,2024-04-18,2024-04-18,1,0,0,0.0,NaverSeries
2660,나 혼자만 마법 면역,판타지,실렝,2024-04-18,2024-04-18,232,122,1,9.0,NaverSeries
2661,사신회고록,무협,블랙단초,2024-04-18,2024-04-18,150,5,0,7.7,NaverSeries
2662,유혹의 끝,로맨스,허지애,2024-04-18,2024-04-18,1,0,0,0.0,NaverSeries
2663,찌질이 너드에 귀여움을 한 스푼,로맨스,초쿠,2024-04-18,2024-04-18,1,0,0,0.0,NaverSeries
2664,돈으로 흥하는 회귀 은원,현판,글먹과글망,2024-04-18,2024-04-18,182,20,2,7.0,NaverSeries
2665,불건전한 파트너,로맨스,임라윤,2024-04-18,2024-04-18,3,0,0,8.7,NaverSeries
2666,막내 황녀님,로판,사하,2024-04-18,2024-04-18,268,2,2,10.0,NaverSeries
2667,밤이니까 하고 싶은,로맨스,교묘히,2024-04-18,2024-04-18,2,0,0,0.0,NaverSeries
2668,확실하게 해줘,로맨스,김베리,2024-04-18,2024-04-18,3,0,1,10.0,NaverSeries
2669,덕질하는 음악천재,현판,강선우,2024-03-23,2024-04-17,221,113,2,7.4,NaverSeries
2670,0살부터 슈퍼스타,현판,북그곰,2019-12-04,2024-04-17,1214,11602,93,9.7,NaverSeries
2671,은혜 갚는 동거,로맨스,바죠,2024-04-17,2024-04-17,65,0,2,10.0,NaverSeries
2672,민감한 대리님,현판,후로스트,2023-11-24,2024-04-17,236,534,3,9.8,NaverSeries
2673,스파이 능력으로 글로벌 톱배우,현판,풀드로우,2023-12-20,2024-04-17,202,736,22,9.4,NaverSeries
2674,바다 수호자의 양딸이 되었습니다,로판,단리한,2024-04-17,2024-04-17,7,0,0,0.0,NaverSeries
2675,흑막들의 키워드를 바꾸면,로판,요나,2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2676,위험천만한 연애,로맨스,Lunar 이지연,2024-04-17,2024-04-17,4,1,0,0.0,NaverSeries
2677,모스크바의 여명,로판,황장미,2019-11-20,2024-04-17,47,132,39,9.9,NaverSeries
2678,용두사망 소설 속의 악녀가 되었다,로판,윤림,2024-04-17,2024-04-17,5,0,0,0.0,NaverSeries
2679,황제의 유혹,로판,주시하,2024-04-17,2024-04-17,6,0,0,10.0,NaverSeries
2680,나랑 해! 연애!,로맨스,키위바나나,2024-04-17,2024-04-17,3,0,0,10.0,NaverSeries
2681,가짜 황자비의 위험한 신혼일기,로판,페페토,2024-04-17,2024-04-17,5,0,0,0.0,NaverSeries
2682,욕망 어린 후원,로맨스,사랑의묘약,2024-04-17,2024-04-17,4,0,1,10.0,NaverSeries
2683,잔혹한 흑막이 다정히 유혹할 때,로판,쏘리미,2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2684,짜릿한 이혼,로맨스,김그레이스,2024-04-17,2024-04-17,3,0,0,10.0,NaverSeries
2685,낮과 밤이 다른 남자,로맨스,플라비,2024-04-17,2024-04-17,2,0,0,10.0,NaverSeries
2686,예언의 진정한 해석법,로판,윤림,2024-04-17,2024-04-17,5,0,0,0.0,NaverSeries
2687,참을 수 없이 먹고 싶어,로판,성혜림,2024-04-17,2024-04-17,5,0,1,10.0,NaverSeries
2688,계약직 대공비,로판,MON쉘,2024-04-17,2024-04-17,6,0,1,10.0,NaverSeries
2689,수상한 문과장,로맨스,벚꽃그리고,2024-04-17,2024-04-17,5,0,0,10.0,NaverSeries
2690,사수하고 싶은 남자,로맨스,벚꽃그리고,2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2691,당신이어야만 합니다 외전,로맨스,서가희,2024-04-17,2024-04-17,1,0,0,0.0,NaverSeries
2692,연인,로맨스,유오디아,2024-04-17,2024-04-17,2,2,0,8.7,NaverSeries
2693,복수에는 이자가 붙는다,로판,강희자매,2024-04-17,2024-04-17,5,0,0,0.0,NaverSeries
2694,세상에 나쁜 공녀님은 없다,로판,스캠퍼,2024-04-17,2024-04-17,6,0,1,10.0,NaverSeries
2695,해선 안 될 짓,로맨스,단꽃비,2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2696,가짜 구원자를 버리겠습니다,로판,슈가자몽,2024-04-17,2024-04-17,4,0,0,10.0,NaverSeries
2697,훔쳐 온 황태자비,로판,낰낰,2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2698,악역 꿈나무의 언니가 되었습니다,로판,불탄소,2024-04-17,2024-04-17,5,0,0,0.0,NaverSeries
2699,폭군의 시한부 소꿉친구,로판,은해윤,2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2700,아무래도 결혼을 잘못한 것 같다,로판,김다함,2024-04-17,2024-04-17,7,0,1,10.0,NaverSeries
2701,이 결혼은 술김에 이뤄졌습니다,로판,씩씩이레이디,2024-04-17,2024-04-17,7,0,0,0.0,NaverSeries
2702,아내 교체,로맨스,와니니,2024-04-17,2024-04-17,60,73,4,8.7,NaverSeries
2703,미친 재회,로맨스,정가령,2024-04-17,2024-04-17,2,0,0,10.0,NaverSeries
2704,적 결혼,로맨스,노지아,2024-04-17,2024-04-17,3,0,0,10.0,NaverSeries
2705,플리즈 비 마인,로맨스,박수정(방울마마),2024-04-17,2024-04-17,3,3,0,10.0,NaverSeries
2706,안전한 지옥,로맨스,은지유,2024-04-17,2024-04-17,3,0,0,0.0,NaverSeries
2707,짐승의 속삭임,로맨스,청화담,2024-04-17,2024-04-17,3,0,0,0.0,NaverSeries
2708,망겜 속 지휘관이 되었다,판타지,헤븐즈,2024-04-17,2024-04-17,9,0,0,0.0,NaverSeries
2709,머랭 치다 세상을 구함,로판,백묭,2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2710,우리 객잔 정상영업합니다! 외전 2 BL,로맨스,고이재,2024-04-17,2024-04-17,1,1,0,10.0,NaverSeries
2711,흠뻑 적셔줘,로맨스,니주스,2024-04-17,2024-04-17,84,61,11,8.6,NaverSeries
2712,해선 안 될 짓 외전,로맨스,단꽃비,2024-04-17,2024-04-17,1,0,0,0.0,NaverSeries
2713,악녀가 열한 번 죽은 이유,로판,은록,2024-04-17,2024-04-17,4,0,0,10.0,NaverSeries
2714,전남편과 결혼해야 하는 이유,로판,린아(潾娥),2024-04-17,2024-04-17,4,0,0,0.0,NaverSeries
2715,"왕녀를 지키는 꽃, 리시안셔스",로판,Gazebo,2024-04-17,2024-04-17,8,0,0,10.0,NaverSeries
2716,가업을 이어야 하는데 대공비가 되었다,로판,릴리아,2024-04-17,2024-04-17,8,0,0,10.0,NaverSeries
2717,접근 금지! 미친 에스퍼 있음 BL,로맨스,텐인,2024-04-17,2024-04-17,122,1,0,10.0,NaverSeries
2718,흑막들의 키워드를 바꾸면 외전,로판,요나,2024-04-17,2024-04-17,1,0,0,0.0,NaverSeries
2719,애타는 로맨스,로맨스,Lunar 이지연,2024-04-17,2024-04-17,5,0,0,0.0,NaverSeries
2720,원 포인트 레슨(One Point Lesson),로맨스,배덕희,2024-04-17,2024-04-17,73,84,0,9.5,NaverSeries
2721,죽은 건 난데 용사님이 미쳐 버렸다,로판,팔당댐,2024-04-17,2024-04-17,200,5,0,10.0,NaverSeries
2722,미국 흙수저 깡촌에서 살아남기,현판,커피흡입기,2023-08-14,2024-04-16,281,2286,23,9.9,NaverSeries
2723,기간트 아카데미의 천재가 되었다,판타지,이세계사장,2024-04-16,2024-04-16,13,1,0,10.0,NaverSeries
2724,깍두기 컨트롤러 BL,로맨스,시즘,2024-04-16,2024-04-16,5,0,0,0.0,NaverSeries
2725,황제의 외동딸 특별 외전,로판,윤슬,2024-04-16,2024-04-16,1,0,0,0.0,NaverSeries
2726,황제의 외동딸 - 블랙 라벨 클럽 004,로판,윤슬,2016-02-24,2024-04-16,198,195,95,9.1,NaverSeries
2727,천재 스트라이커가 돌아왔다,현판,이고난,2024-04-16,2024-04-16,7,0,0,0.0,NaverSeries
2728,필드를 씹어먹는 최연소 폭격기,현판,하구둑,2024-04-16,2024-04-16,5,0,0,0.0,NaverSeries
2729,나만 탑에서 출석 보상,현판,지니어,2024-04-16,2024-04-16,9,0,0,10.0,NaverSeries
2730,"전하, 제 남편이 되세요",로판,크림치즈식빵,2024-04-16,2024-04-16,5,0,0,0.0,NaverSeries
2731,몽마가 찾아오는 밤,로판,신양이,2024-04-16,2024-04-16,4,0,0,0.0,NaverSeries
2732,불순한 마음 GL,로맨스,코스모스영,2024-04-16,2024-04-16,1,0,0,0.0,NaverSeries
2733,살인의 이유,로맨스,금스푼,2024-04-16,2024-04-16,1,0,0,0.0,NaverSeries
2734,우아하고 효과적인 구혼 회피법,로판,은라겸,2024-04-16,2024-04-16,4,0,1,10.0,NaverSeries
2735,저문 여름의 파사칼리아 외전,로판,이해소윰,2024-04-16,2024-04-16,1,0,0,0.0,NaverSeries
2736,히틀러가 되었다,판타지,종이호랑이,2023-10-25,2024-04-16,366,1678,8,9.9,NaverSeries
2737,복수하는 G급 각성자,현판,시리홍,2024-04-16,2024-04-16,7,0,0,10.0,NaverSeries
2738,병약 서생이 너무 강함,무협,이온,2024-04-16,2024-04-16,6,1,0,0.0,NaverSeries
2739,아카데미 얼굴천재가 되었다,판타지,4cachips,2024-04-16,2024-04-16,9,0,0,0.0,NaverSeries
2740,불순한 입주 계약,로맨스,월강,2023-10-11,2024-04-16,73,850,8,9.3,NaverSeries
2741,위험한 과외,로맨스,진시하,2024-04-16,2024-04-16,3,0,0,0.0,NaverSeries
2742,귀환 용사의 인방 생활,판타지,유리손,2024-04-16,2024-04-16,225,19,0,4.2,NaverSeries
2743,비틀린 애욕,로맨스,미세스한,2023-01-13,2024-04-16,90,302,6,7.8,NaverSeries
2744,국선변호사,현판,션.K,2023-11-15,2024-04-16,53,48,24,9.6,NaverSeries
2745,신의 마력을 가졌다,판타지,오늘오후에,2023-09-26,2024-04-15,259,1874,20,9.2,NaverSeries
2746,세상 끝에서 온 무사 개정판,무협,천봉,2024-04-15,2024-04-15,12,1,0,10.0,NaverSeries
2747,두 번 사는 프로게이머,현판,지언,2024-04-15,2024-04-15,335,2,0,10.0,NaverSeries
2748,적가상방 개망나니,무협,미리혼,2024-04-15,2024-04-15,25,0,0,0.0,NaverSeries
2749,나랑 자게 될 거야,로맨스,차가울(미캉),2024-03-14,2024-04-15,88,1403,24,9.6,NaverSeries
2750,운명을 거부하는 법,로판,히리엔,2023-08-02,2024-04-15,179,17,5,7.1,NaverSeries
2751,미래를 보는 소드마스터,판타지,장홍,2023-08-29,2024-04-15,154,561,6,9.0,NaverSeries
2752,일인군 분신술사,현판,사일도,2023-12-16,2024-04-15,129,76,3,8.0,NaverSeries
2753,구검쟁패,무협,풍백,2023-05-23,2024-04-15,239,409,5,8.8,NaverSeries
2754,환생검귀,무협,월랑,2024-04-15,2024-04-15,11,3,0,8.1,NaverSeries
2755,에인트(ain't),로맨스,티케one,2024-04-02,2024-04-15,158,3,3,9.7,NaverSeries
2756,은퇴한 전설은 조용히 살고 싶다,현판,바나바다,2024-03-05,2024-04-15,151,170,3,9.2,NaverSeries
2757,남편을 잘못 키워 버렸다,로판,다라빛,2024-04-15,2024-04-15,5,0,0,0.0,NaverSeries
2758,밤만 되면 백작님이 개정판,로판,정든,2024-04-15,2024-04-15,119,76,2,9.8,NaverSeries
2759,후작가의 마법 천재,판타지,키보드만세,2024-04-15,2024-04-15,13,0,0,8.0,NaverSeries
2760,네게 스미는 밤,로맨스,시크로터스,2024-04-15,2024-04-15,3,0,0,0.0,NaverSeries
2761,더티 웨딩,로맨스,리버 진,2024-03-21,2024-04-15,99,2775,11,9.5,NaverSeries
2762,마스터 캐슬,판타지,권태용,2024-04-15,2024-04-15,10,0,0,9.0,NaverSeries
2763,애기븝미쟝이 되었다,판타지,신사너구리,2024-04-15,2024-04-15,7,1,0,10.0,NaverSeries
2764,재앙급 헌터가 되었습니다,판타지,신율,2024-04-15,2024-04-15,10,2,0,6.5,NaverSeries
2765,얼음나무 숲 완전판,판타지,하지은,2024-04-15,2024-04-15,68,0,5,10.0,NaverSeries
2766,언제나 밤인 세계,판타지,하지은,2024-04-15,2024-04-15,64,4,0,10.0,NaverSeries
2767,내 신도들이 너무 강하다,판타지,알시리스,2024-04-15,2024-04-15,9,0,0,7.0,NaverSeries
2768,장강용왕,무협,남운,2024-04-15,2024-04-15,7,1,0,5.0,NaverSeries
2769,땅땅거리는 놈,무협,박동신,2024-04-15,2024-04-15,13,6,0,10.0,NaverSeries
2770,원작에 없는 북부 공작과 결혼했다,로판,오디열매,2024-04-15,2024-04-15,180,2,0,9.8,NaverSeries
2771,천재 투수가 망팀을 살림,현판,김퀄,2024-04-15,2024-04-15,8,1,0,0.0,NaverSeries
2772,대호귀환,무협,산수화,2024-04-15,2024-04-15,150,4,0,9.7,NaverSeries
2773,안길 때마다 우는 주제에,로판,은서예,2024-03-13,2024-04-15,127,588,2,8.9,NaverSeries
2774,두더지 아가씨 이네트,로판,비리디언,2024-03-01,2024-04-15,113,71,2,9.8,NaverSeries
2775,낭떠러지,로맨스,하루가 너무 길다,2024-03-20,2024-04-15,76,1403,9,9.6,NaverSeries
2776,뒤집기부터 무공천재,무협,탄마,2024-04-15,2024-04-15,8,0,0,10.0,NaverSeries
2777,악녀는 집으로 돌아가고 싶습니다,로판,김비란,2024-04-15,2024-04-15,161,0,0,0.0,NaverSeries
2778,네 남편 좀 꼬실게,로맨스,버블방,2024-03-27,2024-04-14,150,83,2,9.6,NaverSeries
2779,정조 데리고 왜란 트립,판타지,구오,2024-04-03,2024-04-14,211,119,0,8.8,NaverSeries
2780,레지스탕스 천마님,무협,마스터A,2023-10-03,2024-04-14,200,176,9,9.0,NaverSeries
2781,시간 만수르,현판,뜨겔,2024-01-31,2024-04-13,150,232,3,8.5,NaverSeries
2782,최후의 모험가,판타지,디다트,2023-08-15,2024-04-13,300,3178,27,4.9,NaverSeries
2783,1996년 투자의 제왕,현판,자유RO,2023-06-28,2024-04-12,136,245,4,8.0,NaverSeries
2784,무한으로 레벨 업 하는 헌터,현판,화운,2024-01-19,2024-04-12,176,182,8,8.3,NaverSeries
2785,천마님 안마하신다,현판,레빗토끼,2022-04-14,2024-04-12,309,2632,34,9.7,NaverSeries
2786,초전도체로 세계재벌,현판,종이노트,2023-11-23,2024-04-12,250,705,9,8.3,NaverSeries
2787,환생신의,무협,미루하,2023-12-27,2024-04-12,203,697,2,9.4,NaverSeries
2788,대충 찍은 너튜브 영상이 대박나 있었다,현판,앱솔,2023-12-20,2024-04-12,200,179,7,9.1,NaverSeries
2789,"위험해, 너 외전3",로맨스,해엘,2024-04-12,2024-04-12,1,0,0,0.0,NaverSeries
2790,"위험해, 너 외전",로맨스,해엘,2021-10-01,2024-04-12,74,677,4,7.2,NaverSeries
2791,신들린 결혼,로맨스,모카의습도,2024-04-12,2024-04-12,90,27,1,9.9,NaverSeries
2792,집착 황제와 계략 후궁,로맨스,조은조,2024-04-12,2024-04-12,100,250,7,9.5,NaverSeries
2793,덫에 물들다,로맨스,심언조,2024-04-12,2024-04-12,78,13,0,9.4,NaverSeries
2794,이 계약 결혼의 끝이 파멸일지라도,로판,위글블리,2024-04-12,2024-04-12,100,13,2,9.2,NaverSeries
2795,"사랑, 그 지한",로맨스,두나리,2024-04-12,2024-04-12,75,1146,2,9.6,NaverSeries
2796,게임 속 무한 재능의 흑마법사가 되었다,판타지,단근,2024-04-12,2024-04-12,8,0,0,0.0,NaverSeries
2797,종말 속 마법사가 된다는 것은,판타지,에디료,2024-04-12,2024-04-12,150,0,1,10.0,NaverSeries
2798,불순 계약,로맨스,천세희,2024-04-12,2024-04-12,100,213,11,9.8,NaverSeries
2799,불온한 밀어,로맨스,서정인,2024-04-12,2024-04-12,73,6,0,9.6,NaverSeries
2800,망국의 마지막 황제가 되었다?,판타지,뿌링틀,2024-04-12,2024-04-12,17,2,0,0.0,NaverSeries
2801,기묘한 미술관,현판,경우勁雨,2024-04-12,2024-04-12,7,0,0,0.0,NaverSeries
2802,완벽한 대공의 위장 결혼,로판,설유영,2024-04-12,2024-04-12,121,59,5,8.5,NaverSeries
2803,불온한 재회,로맨스,차수인,2024-04-12,2024-04-12,74,39,0,9.9,NaverSeries
2804,"쉿, 그 가이드를 빡치게 하지마!",로판,은빛을담은별,2024-04-12,2024-04-12,6,0,0,0.0,NaverSeries
2805,천재작가의 이중생활 미니노블,현판,긍정호,2024-04-12,2024-04-12,100,231,16,9.7,NaverSeries
2806,환생했는데 걸그룹이 되었다,현판,에바트리체,2024-04-12,2024-04-12,12,0,0,9.8,NaverSeries
2807,아포칼립스에 나만 장르가 이상하다?,판타지,심행,2024-04-12,2024-04-12,11,1,1,10.0,NaverSeries
2808,조선에 게이트가 열렸다 미니노블,판타지,Takeoff,2024-04-12,2024-04-12,100,45,8,9.3,NaverSeries
2809,환생 무림왕,무협,남운,2024-03-20,2024-04-11,340,6,0,7.4,NaverSeries
2810,캠핑장에서 시작하는 유유자적 무림생활,현판,이서진,2023-12-08,2024-04-11,202,332,6,8.2,NaverSeries
2811,야장환생,무협,카페人,2023-12-06,2024-04-11,221,588,7,9.3,NaverSeries
2812,마운드의 폭군이 되었다,현판,량주,2024-04-11,2024-04-11,8,0,0,10.0,NaverSeries
2813,계 아래 하녀,로맨스,수지그린,2024-04-11,2024-04-11,87,37,2,10.0,NaverSeries
2814,갑자기 왜 후회하세요?,로판,슈아레,2024-01-20,2024-04-11,177,387,7,9.8,NaverSeries
2815,평 우주를 구해보겠습니다,현판,권씨,2024-04-11,2024-04-11,4,0,0,10.0,NaverSeries
2816,회귀한 무역상의 투자일지,현판,풍류태,2024-04-11,2024-04-11,8,0,0,0.0,NaverSeries
2817,우리 아빠는 헌터 아카데미 선생님,현판,십일마,2024-04-11,2024-04-11,175,11,0,9.9,NaverSeries
2818,러브 리싸이클,로맨스,단초록,2024-03-07,2024-04-11,99,0,2,10.0,NaverSeries
2819,SSS급이 패시브 되었을 때,판타지,몽뀨,2023-08-22,2024-04-10,200,1254,14,8.3,NaverSeries
2820,논검무적,무협,요비,2024-01-05,2024-04-10,201,54,4,9.0,NaverSeries
2821,열혈 인생,현판,동쪽사람,2023-07-14,2024-04-10,319,152,3,9.0,NaverSeries
2822,여용사의 짐꾼이 되었다,판타지,선인장사이다,2023-10-31,2024-04-10,180,110,2,7.6,NaverSeries
2823,키스는 복수 후에,로맨스,윈터곰,2024-04-10,2024-04-10,80,11,5,9.6,NaverSeries
2824,다정하지 않아서,로맨스,보라영,2024-04-10,2024-04-10,68,685,3,9.6,NaverSeries
2825,신의 능력을 빌린 자들,판타지,김공공,2023-08-29,2024-04-10,243,32,13,8.3,NaverSeries
2826,멈출 수 없는,로맨스,위영,2024-04-10,2024-04-10,60,32,1,9.3,NaverSeries
2827,신입사원 재벌총수 프로젝트,현판,서재현,2024-04-10,2024-04-10,9,0,0,0.0,NaverSeries
2828,장주,로맨스,윈지,2024-04-10,2024-04-10,412,143,1,9.2,NaverSeries
2829,육궁봉화,로맨스,심조실락적애정,2024-04-10,2024-04-10,797,436,1,9.7,NaverSeries
2830,공주명천요등기 외전포함,로맨스,춘몽관정,2024-04-10,2024-04-10,15,0,0,10.0,NaverSeries
2831,니들끼리 혁명해라,판타지,감튀이이이,2023-11-01,2024-04-09,203,870,5,8.9,NaverSeries
2832,천마이계환생기,판타지,차연시,2024-04-09,2024-04-09,236,12,1,3.5,NaverSeries
2833,나 혼자 게이트 속 세상을 알고 있다.,판타지,은퇴생활,2024-04-09,2024-04-09,130,40,0,8.1,NaverSeries
2834,절대자의 세계,현판,까마귀씨,2023-06-06,2024-04-09,270,258,3,8.7,NaverSeries
2835,이번 생에는 물리력 만렙 변호사로 살겠습니다,현판,백은빛별,2023-11-23,2024-04-09,202,64,2,9.5,NaverSeries
2836,전직 절대자는 아카데미 펫 관리자,현판,말랑부들,2023-06-06,2024-04-09,238,947,17,9.5,NaverSeries
2837,마왕은 슈퍼스타,현판,수라백,2024-03-14,2024-04-09,150,55,2,8.4,NaverSeries
2838,"망할세상, 잠수함 탑니다",현판,박침,2024-04-09,2024-04-09,9,0,1,10.0,NaverSeries
2839,미국재벌로 대한립!,판타지,염왕,2024-04-09,2024-04-09,19,0,0,10.0,NaverSeries
2840,방구석 강화사,현판,동주,2024-04-09,2024-04-09,9,0,0,0.0,NaverSeries
2841,반짝반짝 개정판외전,로맨스,박수정,2024-04-09,2024-04-09,1,0,0,10.0,NaverSeries
2842,비누 없이 조선을 바꾼다,판타지,불량집사,2024-04-09,2024-04-09,9,1,0,8.0,NaverSeries
2843,반짝반짝 개정판,로맨스,박수정,2024-04-09,2024-04-09,2,0,0,10.0,NaverSeries
2844,"천재용병, 방송으로 살아남기",판타지,범핀,2023-07-04,2024-04-09,200,979,11,9.0,NaverSeries
2845,대역공녀에게 후회는 필요 없습니다,로판,윤재희,2024-04-09,2024-04-09,195,7,0,9.9,NaverSeries
