,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
1096,이번 생은 가주가 되겠습니다,로맨스판타지,김로아,240000000,192000,314,2016-05-19,2012-01-22,10.0
1097,꼬마 며느리가 다 살림!,로맨스판타지,윤하월,1706000,1118,109,2007-06-24,2026-06-24,9.8
1098,"돈봉투, 제가 한번 받아보겠습니다",로맨스판타지,밤은달,3453000,2555,178,2012-03-24,2026-06-24,9.9
1099,사천당가 막내딸은 천재 명의랍니다,로맨스판타지,천지수,562000,455,101,2012-06-24,2026-06-24,9.6
1100,"악역에 빙의했지만, 고양이나 키울래요",로맨스판타지,찬연,4650000,8344,205,2011-12-20,2019-06-24,9.9
1101,악녀라서 편하고 좋은데요?,로맨스판타지,망고킴,110000000,80000,217,2022-08-20,2018-12-22,10.0
1102,오늘부로 황궁의 실세는 저입니다만,로맨스판타지,카밍,78000,97,80,2025-06-24,2025-06-24,9.2
1103,남주들의 집착보다 내 탈영이 빠르겠다,로맨스판타지,아듀,27865000,44000,257,2004-12-21,2015-06-24,9.9
1104,장르를 바꿔보도록 하겠습니다,로맨스판타지,KEN,59178000,48000,188,2009-11-18,2003-05-21,10.0
1105,바이올렛의 한마디,로맨스판타지,리사벨,4163000,2664,133,2020-04-24,2026-06-24,9.7
1106,폭군의 침방 시녀가 되었다,로맨스판타지,주예령,16260000,22000,181,2014-01-21,2001-06-24,9.9
1107,공포게임 속 백치 영애로 살아남기,로맨스판타지,감귤타르트,2571000,4481,154,2031-03-24,2026-06-24,9.9
1108,이혼 전략,로맨스판타지,하로제,6530000,6806,189,2031-10-22,2024-06-24,9.8
1109,충신은 버림받은 황자비,로맨스판타지,보엠1800,972000,758,116,2013-06-24,2025-06-24,9.6
1110,금손 아기님이 전부 다 고침!,로맨스판타지,하이마이디어,5546000,2699,174,2016-03-24,2020-06-24,9.5
1111,구원이 필요하신가요?,로맨스판타지,예훤,969000,2880,208,2030-10-22,2025-06-24,9.7
1112,남주의 입양딸이 되었습니다,로맨스판타지,라티네,66471000,53000,341,2012-01-20,2027-09-21,9.9
1113,정의로운 미친개의 며느리가 되었다,로맨스판타지,누오바,4443000,5427,358,2012-12-21,2025-06-24,9.9
1114,너에게 빼앗을 왕관,로맨스판타지,윌브라이트,9687000,5813,153,2028-03-24,2011-05-24,9.7
1115,흑막 범고래 아기님,로맨스판타지,문시현,11773000,12000,276,2002-09-22,2013-03-23,9.8
1116,신데렐라는 이 멧밭쥐가 데려갑니다,로맨스판타지,설이수,10055000,7979,266,2014-10-23,2026-06-24,9.9
1117,저택은 봄을 기다린다,로맨스판타지,이보라,4779000,8096,248,2020-01-24,2026-06-24,9.5
1118,악역의 엔딩은 죽음뿐,로맨스판타지,권겨을,150000000,228000,279,2031-03-19,2003-08-20,10.0
1119,"원작은 모르겠고, 먹고 살기도 바쁩니다",로맨스판타지,이터늘,9453000,7081,243,2020-03-23,2024-02-24,9.7
1120,힘을 숨겨도 공녀가 제일 강함,로맨스판타지,설윤영,2652000,2614,170,2008-03-24,2022-05-24,9.8
1121,여주가 세계를 구함,로맨스판타지,김로아,9419000,13000,179,2029-02-24,2014-06-24,9.9
1122,금발의 정령사,로맨스판타지,글비,63366000,116000,706,2026-01-18,2026-06-24,9.9
1123,악당 가문의 상속녀입니다,로맨스판타지,달슬,33385000,26000,287,2016-10-21,2011-02-24,10.0
1124,회귀한 아기는 육아를 거절합니다,로맨스판타지,김구슬,8788000,6192,283,2022-10-23,2004-06-24,9.8
1125,신성력은 돈으로 사겠습니다,로맨스판타지,녹타,12278000,9431,269,2010-11-23,2009-06-24,9.9
1126,이상한데 효과적인 악녀 생활,로맨스판타지,유나진,19846000,18000,197,2018-11-22,2017-02-23,9.9
1127,사랑받는 언니가 사라진 세계,로맨스판타지,나유혜,30807000,30000,176,2010-04-20,2005-01-23,9.9
1128,말단 공무원은 출세가 하고 싶어서,로맨스판타지,유나진,12129000,11000,171,2031-01-24,2004-04-24,9.9
1129,육아물 여주인공의 새언니,로맨스판타지,금눈새,10023000,15000,301,2010-03-22,2024-05-23,9.8
1130,아빠가 힘을 숨김,로맨스판타지,고은채,39191000,53000,304,2012-08-22,2013-12-23,9.9
1131,사자와 왕녀,로맨스판타지,자야,15008000,16000,189,2019-07-18,2028-03-19,10.0
1132,해적들의 사랑받는 공주님,로맨스판타지,달공방,821000,912,105,2009-06-24,2026-06-24,9.8
1133,후회 남주를 위한 흥신소 절찬 영업 중!,로맨스판타지,몬짹짹,2477000,2879,203,2018-01-24,2020-06-24,9.9
1134,구경하는 들러리양,로맨스판타지,엘리아냥,53940000,69000,189,2029-01-16,2023-06-24,10.0
1135,최강자 남주의 라이벌을 그만두었더니,로맨스판타지,유나진,28720000,36000,169,2012-06-21,2024-05-24,10.0
1136,가짜를 위한 장소는 없다,로맨스판타지,오앤,27762000,22000,189,2012-11-20,2019-03-24,9.9
1137,막내온탑,로맨스판타지,주해온,30034000,29000,300,2030-06-22,2015-04-23,9.6
1138,복수는 이렇게 하는 거다,로맨스판타지,한보연,15545000,12000,242,2010-03-23,2028-06-23,9.8
1139,공주보다 시녀가 천직이었습니다,로맨스판타지,김뽀삐,28705000,22000,216,2002-04-21,2001-03-24,9.9
1140,악녀들을 위한 안내서,로맨스판타지,자야,20986000,26000,223,2014-12-19,2027-10-23,10.0
1141,이 3세는 악역입니다,로맨스판타지,리샤,120000000,90000,390,2017-09-21,2021-12-22,8.5
1142,후회가 우리를 살게 한다면,로맨스판타지,권도윤,1302000,1771,185,2012-04-24,2026-06-24,9.7
1143,"한날한시에 죽어요, 누나",로맨스판타지,라티네,1443000,2204,225,2010-12-23,2026-05-24,9.8
1144,에보니,로맨스판타지,자야,75023000,64000,280,2010-07-17,2026-01-18,9.9
1145,시그리드,로맨스판타지,시야,67090000,50000,172,2029-04-16,2008-01-23,9.9
1146,악녀 언니를 구하러 온 용감한 강아지입니다,로맨스판타지,여로은,6221000,7179,191,2010-02-24,2015-06-24,9.9
1147,"남편은 됐고, 돈이나 벌렵니다",로맨스판타지,주해온,48094000,48000,205,2012-04-19,2010-10-22,9.8
1148,병약한 아빠를 간호했을 뿐인데,로맨스판타지,목새달,6145000,6313,161,2026-05-22,2018-05-24,9.9
1149,"물어 와요, 황제 폐하",로맨스판타지,파워숄더,752000,1070,242,2006-11-23,2027-06-24,9.6
1150,아기 마님은 복수 메이커,로맨스판타지,리사벨,6343,0,10,2026-01-24,2026-01-24,8.0
1151,버림받느니 버리겠습니다,로맨스판타지,엘루앙,5391000,10000,171,2025-09-19,2017-06-24,8.7
