,제목,장르,작가,지수,현대판타지,판타지,무협,대체역사,퓨전,스포츠,드라마,로맨스,게임,전쟁·밀리터리,일반소설,SF
121,귀농했는데 아포칼립스 터졌다,"현대판타지,판타지",버머랜드,403970,True,True,False,False,False,False,False,False,False,False,False,False
122,내 마법만 레벨업,"판타지,퓨전",해무극,398410,False,True,False,False,True,False,False,False,False,False,False,False
123,괴물 음악천재가 되어 돌아왔다,현대판타지,츠로프,397510,True,False,False,False,False,False,False,False,False,False,False,False
124,제약회사 회장님은 절대독마,현대판타지,꾸찌꾸찌,397090,True,False,False,False,False,False,False,False,False,False,False,False
125,서부로 간 검은머리 용병,"대체역사,퓨전",노오력.,387540,False,False,False,True,True,False,False,False,False,False,False,False
126,파혼 후 역대급 투자 천재,"현대판타지,퓨전",단골손놈,386330,True,False,False,False,True,False,False,False,False,False,False,False
127,짜장 한 그릇에 제갈세가 데릴사위,"무협,퓨전",에르훗,381560,False,False,True,False,True,False,False,False,False,False,False,False
128,오빠가 천재였다.,"현대판타지,드라마",시하,377320,True,False,False,False,False,False,True,False,False,False,False,False
129,퓨전펑크의 전생자,"판타지,퓨전",쫄면에삼겹,376980,False,True,False,False,True,False,False,False,False,False,False,False
130,귀농했더니 국가급 거물 후배들이 몰려든다,"현대판타지,판타지",아길론™,372060,True,True,False,False,False,False,False,False,False,False,False,False
131,서울역 세종대왕,"대체역사,현대판타지",구사(龜沙),370300,True,False,False,True,False,False,False,False,False,False,False,False
132,MLB 천재들이 방출 포수를 너무 좋아함,"스포츠,현대판타지",에필로거,370180,True,False,False,False,False,True,False,False,False,False,False,False
133,스킬진화로 빌런 응징,"현대판타지,판타지",라팜팜,369270,True,True,False,False,False,False,False,False,False,False,False,False
134,이동 요새로 아포칼립스 살아남기,"판타지,현대판타지",스타퍼,363200,True,True,False,False,False,False,False,False,False,False,False,False
135,카이저가 칼들고 협박함,"대체역사,전쟁·밀리터리",I알자스I,363130,False,False,False,True,False,False,False,False,False,True,False,False
136,기적을 빚는 도예가,"현대판타지,판타지",노델,361090,True,True,False,False,False,False,False,False,False,False,False,False
137,역대급 라이프 스타일,"현대판타지,판타지",에쮸드,358340,True,True,False,False,False,False,False,False,False,False,False,False
138,멸망한 세계의 전승자,"판타지,퓨전",판작,357780,False,True,False,False,True,False,False,False,False,False,False,False
139,몽골조선의 천재 데릴사위가 되었다,"대체역사,퓨전",기신,356880,False,False,False,True,True,False,False,False,False,False,False,False
140,나 혼자 탑에서 농사,"현대판타지,퓨전",sdcknight,355670,True,False,False,False,True,False,False,False,False,False,False,False
141,근력 만렙 중세인,"판타지,퓨전",련습,354800,False,True,False,False,True,False,False,False,False,False,False,False
142,명문고 EX급 조연의 리플레이,"현대판타지,게임",기월월,353240,True,False,False,False,False,False,False,False,True,False,False,False
143,괴력 난신(怪力 亂神),"무협,판타지",한중월야,352880,False,True,True,False,False,False,False,False,False,False,False,False
